"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your business."
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
"New Customer","New Customer"
Save,Save
"Demo KnockoutJS in Magento 2","Demo KnockoutJS in Magento 2"
TodoList,TodoList
Thêm,Thêm
Accept,Accept
"New Action","New Action"
Overview,Overview
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"Top Categories Of The Month","Top Categories Of The Month"
"TV Televisions","TV Televisions"
"Smart TV","Smart TV"
"4K Ultra HD TVs","4K Ultra HD TVs"
"LED TVs","LED TVs"
"OLED TVs","OLED TVs"
Accessories,Accessories
"Personal Care","Personal Care"
"Face mask","Face mask"
" shield"," shield"
"Small Appliances","Small Appliances"
"Microwave oven","Microwave oven"
"Air Fryer","Air Fryer"
"Rice cooker","Rice cooker"
"Kettle ","Kettle "
"Jar pot","Jar pot"
"Consumer Goods","Consumer Goods"
"Washing and Cleanser","Washing and Cleanser"
"Home care","Home care"
"Hygienic care","Hygienic care"
"Insect treatment","Insect treatment"
"Food and Drink","Food and Drink"
Fruit,Fruit
Confectionary,Confectionary
Beverage,Beverage
Seasoning,Seasoning
"Dietary Supplement","Dietary Supplement"
"Deals Of The Day","Deals Of The Day"
"Sữa Dưỡng Phục Hồi Tái Tạo Da B5 Neogence 50ml","Sữa Dưỡng Phục Hồi Tái Tạo Da B5 Neogence 50ml"
185,185
"Member Wednesday","Member Wednesday"
"From 00:00 to 15:00","From 00:00 to 15:00"
"Best Seller","Best Seller"
"Top 20","Top 20"
Televisions,Televisions
Audio,Audio
Kitchen,Kitchen
"Dietary Suplement","Dietary Suplement"
"Multi cooker 9 Liters","Multi cooker 9 Liters"
"Sharp Dynabook VE1.5","Sharp Dynabook VE1.5"
"New Zealand Cherry","New Zealand Cherry"
"Sharp Face mask FDA certified","Sharp Face mask FDA certified"
"Sharp Healsio AX-1700","Sharp Healsio AX-1700"
"Cirtus Juicer","Cirtus Juicer"
Blender,Blender
"Face shield","Face shield"
"Electric Oven","Electric Oven"
Microwave,Microwave
"Air fryer","Air fryer"
"Air Purifier","Air Purifier"
Refrigerator,Refrigerator
"Your Recently Viewed Products","Your Recently Viewed Products"
"Tips and Tricks","Tips and Tricks"
"3 Columns Double Footer","3 Columns Double Footer"
